[2022-02-22 22:41:17] -- [WARN ]: [com.alibaba.druid.pool.DruidAbstractDataSource] -- discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/novel?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8, version : 1.2.8, lastPacketReceivedIdleMillis : 480651
[2022-02-22 22:41:17] -- [WARN ]: [com.alibaba.druid.pool.DruidAbstractDataSource] -- discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/novel?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8, version : 1.2.8, lastPacketReceivedIdleMillis : 480675
[2022-02-22 22:48:29] -- [WARN ]: [com.alibaba.druid.pool.DruidAbstractDataSource] -- discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/novel?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8, version : 1.2.8, lastPacketReceivedIdleMillis : 412729
[2022-02-22 22:50:39] -- [WARN ]: [com.alibaba.druid.pool.DruidAbstractDataSource] -- discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/novel?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8, version : 1.2.8, lastPacketReceivedIdleMillis : 130249
[2022-02-22 23:00:16] -- [WARN ]: [com.alibaba.druid.pool.DruidAbstractDataSource] -- discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/novel?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8, version : 1.2.8, lastPacketReceivedIdleMillis : 174271
[2022-02-22 23:00:16] -- [WARN ]: [com.alibaba.druid.pool.DruidAbstractDataSource] -- discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/novel?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8, version : 1.2.8, lastPacketReceivedIdleMillis : 174356
[2022-02-22 23:00:16] -- [WARN ]: [com.alibaba.druid.pool.DruidAbstractDataSource] -- discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/novel?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8, version : 1.2.8, lastPacketReceivedIdleMillis : 174375
[2022-02-22 23:00:16] -- [WARN ]: [com.alibaba.druid.pool.DruidAbstractDataSource] -- discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/novel?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8, version : 1.2.8, lastPacketReceivedIdleMillis : 174394
[2022-02-22 23:00:16] -- [WARN ]: [com.alibaba.druid.pool.DruidAbstractDataSource] -- discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/novel?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8, version : 1.2.8, lastPacketReceivedIdleMillis : 174416
[2022-02-22 23:02:24] -- [WARN ]: [com.alibaba.druid.pool.DruidAbstractDataSource] -- discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/novel?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8, version : 1.2.8, lastPacketReceivedIdleMillis : 101209
[2022-02-22 23:11:29] -- [WARN ]: [com.alibaba.druid.pool.DruidAbstractDataSource] -- discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/novel?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8, version : 1.2.8, lastPacketReceivedIdleMillis : 113087
